timestamps,Carbon Dioxide concentration,Temperature
1542928342000,382.0,22.33
1542928340957,382.0,22.33
1542928340198,382.0,22.33
1542928339610,382.0,22.33
1542928337898,382.0,22.33
1542928336878,382.0,22.33
1542928336042,382.0,22.33
1542928334840,382.0,22.33
1542928334140,382.0,22.33
1542928332952,382.0,22.33
1542928331757,382.0,22.33
1542928330743,382.0,22.33
1542928329945,382.0,22.33
1542928328745,382.0,22.33
1542928327677,382.0,22.33
1542928326747,382.0,22.33
1542928325841,382.0,22.33
1542928325042,382.0,22.33
1542928323843,382.0,22.33
1542928322655,382.0,22.34
1542928321652,382.0,22.34
1542928320650,382.0,22.34
1542928319744,382.0,22.34
1542928318943,382.0,22.34
1542928317752,382.0,22.34
1542928316648,382.0,22.34
1542928315650,382.0,22.34
1542928314655,382.0,22.34
1542928313647,382.0,22.34
1542928312841,382.0,22.34
1542928311645,382.0,22.34
1542928310644,382.0,22.34
1542928309643,382.0,22.34
1542928308744,382.0,22.34
1542928307951,382.0,22.34
1542928306750,382.0,22.34
1542928305642,382.0,22.34
1542928304641,382.0,22.34
1542928303641,382.0,22.34
1542928302656,382.0,22.34
1542928301841,382.0,22.34
1542928300641,382.0,22.34
1542928299641,382.0,22.34
1542928298646,382.0,22.34
1542928297751,382.0,22.34
1542928297076,382.0,22.34
1542928295748,382.0,22.34
1542928294644,382.0,22.34
1542928293640,382.0,22.34
1542928292640,382.0,22.34
1542928291639,382.0,22.34
1542928291141,382.0,22.34
1542928290314,382.0,22.34
1542928288945,382.0,22.34
1542928287886,382.0,22.34
1542928286866,382.0,22.34
1542928285942,382.0,22.34
1542928284941,382.0,22.34
1542928284213,382.0,22.34
1542928282844,382.0,22.34
1542928282210,382.0,22.34
1542928281041,382.0,22.34
1542928279841,382.0,22.34
1542928278686,382.0,22.34
1542928277939,382.0,22.34
1542928276742,382.0,22.34
1542928275743,382.0,22.34
1542928274948,382.0,22.34
1542928273643,382.0,22.34
1542928272642,382.0,22.34
1542928271640,382.0,22.34
1542928270641,382.0,22.34
1542928269641,382.0,22.34
1542928268840,382.0,22.34
1542928267640,381.0,22.34
1542928266642,381.0,22.34
1542928265642,381.0,22.34
1542928264743,381.0,22.34
1542928263944,381.0,22.34
1542928262746,381.0,22.34
1542928261642,381.0,22.34
1542928260642,381.0,22.34
1542928259641,381.0,22.34
1542928258641,381.0,22.34
1542928257841,381.0,22.34
1542928256641,381.0,22.34
1542928255642,381.0,22.34
1542928254597,381.0,22.34
1542928254114,381.0,22.34
1542928253156,381.0,22.34
1542928251747,381.0,22.34
1542928250641,381.0,22.34
1542928250010,381.0,22.34
1542928249261,381.0,22.34
1542928248313,381.0,22.34
1542928247045,381.0,22.34
1542928245642,380.0,22.34
1542928244563,380.0,22.33
1542928243562,380.0,22.33
1542928242567,380.0,22.33
1542928241560,380.0,22.33
1542928240940,380.0,22.33
1542928239556,380.0,22.33
1542928238556,380.0,22.33
1542928237551,380.0,22.33
1542928236874,380.0,22.33
1542928235853,380.0,22.33
1542928234813,380.0,22.33
1542928234122,380.0,22.33
1542928232795,380.0,22.33
1542928231754,380.0,22.33
1542928230742,380.0,22.33
1542928229742,380.0,22.33
1542928228704,380.0,22.33
1542928227745,380.0,22.33
1542928227211,380.0,22.33
1542928226041,380.0,22.33
1542928224841,380.0,22.33
1542928223641,380.0,22.33
1542928222595,380.0,22.33
1542928221564,380.0,22.33
1542928220542,380.0,22.32
1542928219544,380.0,22.32
1542928218745,380.0,22.32
1542928217544,380.0,22.32
1542928216543,380.0,22.32
1542928215552,380.0,22.32
1542928214641,379.0,22.32
1542928213839,379.0,22.32
1542928212640,379.0,22.32
1542928211542,379.0,22.32
1542928210545,379.0,22.32
1542928209545,379.0,22.32
1542928208553,380.0,22.32
1542928208011,380.0,22.32
1542928206547,380.0,22.31
1542928205553,380.0,22.31
1542928204442,380.0,22.31
1542928203642,380.0,22.31
1542928202842,380.0,22.31
1542928201642,380.0,22.31
1542928200543,380.0,22.31
1542928199543,380.0,22.31
1542928198544,380.0,22.31
1542928197544,380.0,22.31
1542928197012,380.0,22.31
1542928195553,380.0,22.31
1542928194543,380.0,22.31
1542928193549,380.0,22.31
1542928193011,380.0,22.31
1542928191993,380.0,22.31
1542928190642,380.0,22.3
1542928189549,380.0,22.3
1542928188544,380.0,22.3
1542928187544,380.0,22.3
1542928186545,380.0,22.3
1542928185648,380.0,22.3
1542928184545,380.0,22.3
1542928184053,380.0,22.3
1542928183210,380.0,22.3
1542928182046,380.0,22.3
1542928180840,380.0,22.3
1542928179737,380.0,22.3
1542928178941,380.0,22.3
1542928177749,380.0,22.3
1542928177115,380.0,22.3
1542928175946,380.0,22.3
1542928174745,380.0,22.3
1542928173592,380.0,22.3
1542928172560,380.0,22.3
1542928171546,380.0,22.3
1542928170643,380.0,22.3
1542928169846,380.0,22.3
1542928168641,380.0,22.3
1542928167475,380.0,22.3
1542928166467,380.0,22.3
1542928165468,381.0,22.3
1542928164553,381.0,22.3
1542928163753,381.0,22.3
1542928162545,381.0,22.3
1542928161462,381.0,22.3
1542928160461,381.0,22.3
1542928159642,381.0,22.3
1542928158841,381.0,22.3
1542928157641,381.0,22.3
1542928156465,381.0,22.3
1542928155464,381.0,22.3
1542928154454,381.0,22.3
1542928153545,381.0,22.3
1542928152746,381.0,22.3
1542928151545,381.0,22.3
1542928150448,381.0,22.3
1542928149447,381.0,22.3
1542928148445,381.0,22.3
1542928147445,381.0,22.3
1542928146641,381.0,22.3
1542928145441,381.0,22.3
1542928144442,381.0,22.3
1542928143444,381.0,22.3
1542928142913,381.0,22.3
1542928141936,381.0,22.3
1542928140552,381.0,22.3
1542928139442,381.0,22.3
1542928138442,381.0,22.3
1542928137442,381.0,22.3
1542928136445,381.0,22.3
1542928135799,381.0,22.3
1542928134443,381.0,22.3
1542928133442,381.0,22.3
1542928132442,381.0,22.3
1542928131736,381.0,22.3
1542928130746,381.0,22.3
1542928129679,381.0,22.3
1542928129012,381.0,22.3
1542928127650,381.0,22.3
1542928126610,381.0,22.3
1542928125591,381.0,22.3
1542928124642,381.0,22.3
1542928123549,381.0,22.3
1542928122916,381.0,22.3
1542928121535,381.0,22.3
1542928120554,381.0,22.3
1542928119753,381.0,22.3
1542928118548,381.0,22.3
1542928117442,381.0,22.3
1542928116684,381.0,22.3
1542928116116,381.0,22.3
1542928114842,381.0,22.3
1542928113642,381.0,22.3
1542928112443,381.0,22.3
1542928111442,381.0,22.3
1542928110441,381.0,22.3
1542928109546,381.0,22.3
1542928108745,381.0,22.3
1542928107553,381.0,22.3
1542928106442,381.0,22.3
1542928105390,381.0,22.3
1542928104442,381.0,22.3
1542928103443,381.0,22.3
1542928102643,381.0,22.3
1542928101443,381.0,22.3
1542928100389,381.0,22.3
1542928099855,381.0,22.3
1542928099236,381.0,22.3
1542928097998,381.0,22.3
1542928096551,381.0,22.3
1542928095390,381.0,22.3
1542928094390,381.0,22.3
1542928093792,381.0,22.3
1542928093143,381.0,22.3
1542928091889,381.0,22.3
1542928090450,381.0,22.3
1542928089358,381.0,22.3
1542928088360,381.0,22.3
1542928087348,381.0,22.3
1542928086389,381.0,22.3
1542928085758,381.0,22.3
1542928084359,381.0,22.3
1542928083343,381.0,22.3
1542928082343,381.0,22.3
1542928081689,381.0,22.3
1542928080545,382.0,22.3
1542928079659,382.0,22.3
1542928079012,382.0,22.3
1542928077598,382.0,22.3
1542928076590,382.0,22.3
1542928075558,382.0,22.3
1542928074544,382.0,22.29
1542928073535,382.0,22.29
1542928072770,382.0,22.29
1542928072116,382.0,22.29
1542928070841,382.0,22.29
