podkin_drova,timestamps,temp
False,1542965728675,87.23
False,1542965729676,87.27
False,1542965730876,87.36
False,1542965731780,87.36
False,1542965732580,87.37
False,1542965733579,87.42
False,1542965734580,87.51
False,1542965735777,87.53
False,1542965736678,87.61
False,1542965737882,87.66
False,1542965738698,87.66
False,1542965739619,87.76
False,1542965740676,87.79
False,1542965741880,87.89
False,1542965742780,87.89
False,1542965743699,87.9
False,1542965744730,87.97
False,1542965745738,88.0
False,1542965746780,88.0
False,1542965747807,88.17
False,1542965748878,88.17
False,1542965749839,88.21
False,1542965750581,88.21
False,1542965751930,88.3
False,1542965752930,88.38
False,1542965753948,88.43
False,1542965754582,88.43
False,1542965755587,88.42
False,1542965756581,88.51
False,1542965757778,88.55
False,1542965758678,88.59
False,1542965759879,88.66
False,1542965760679,88.66
False,1542965761582,88.72
False,1542965762679,88.75
False,1542965763878,88.85
False,1542965764782,88.85
False,1542965765592,88.97
False,1542965766580,89.02
False,1542965767580,89.07
False,1542965768779,89.18
False,1542965770000,89.31
False,1542965770879,89.38
False,1542965771678,89.38
False,1542965772581,89.41
False,1542965773677,89.45
False,1542965774876,89.55
False,1542965776077,89.61
False,1542965776980,89.66
False,1542965777788,89.66
False,1542965778677,89.68
False,1542965779780,89.73
False,1542965780999,89.82
False,1542965782179,89.95
False,1542965783078,89.96
False,1542965784277,90.04
False,1542965785078,90.09
False,1542965785930,90.17
False,1542965786781,90.17
False,1542965787986,90.35
False,1542965788781,90.35
False,1542965789780,90.42
False,1542965790798,90.45
False,1542965791986,90.53
False,1542965792877,90.63
False,1542965793874,90.73
False,1542965794878,90.83
False,1542965795898,90.94
False,1542965796930,90.96
False,1542965797937,91.03
False,1542965798989,91.07
False,1542965799998,91.1
False,1542965800677,91.1
False,1542965802028,91.21
False,1542965803074,91.31
False,1542965804074,91.36
False,1542965804676,91.36
False,1542965805678,91.43
False,1542965806675,91.47
False,1542965807876,91.56
False,1542965808781,91.56
False,1542965810228,91.68
False,1542965810778,91.68
False,1542965811674,91.69
False,1542965812780,91.7
False,1542965813980,91.8
False,1542965814876,91.85
False,1542965815677,91.85
False,1542965816675,91.89
False,1542965817676,91.9
False,1542965818876,91.98
False,1542965820076,92.02
False,1542965820978,92.1
False,1542965821779,92.1
False,1542965822676,92.14
False,1542965823776,92.15
False,1542965824979,92.29
False,1542965825889,92.36
False,1542965826675,92.36
False,1542965827676,92.35
False,1542965828674,92.43
False,1542965829874,92.53
False,1542965830780,92.53
False,1542965831989,92.58
False,1542965832780,92.58
False,1542965833698,92.65
False,1542965834780,92.68
False,1542965835981,92.82
False,1542965836877,92.87
False,1542965837798,92.87
False,1542965838818,92.93
False,1542965839838,93.0
False,1542965840889,93.06
False,1542965842076,93.12
False,1542965842983,93.14
False,1542965843930,93.16
False,1542965844680,93.16
False,1542965846000,93.27
False,1542965847020,93.28
False,1542965848038,93.35
False,1542965848679,93.35
False,1542965849690,93.39
False,1542965850692,93.46
False,1542965852098,93.55
False,1542965853130,93.59
False,1542965854139,93.59
False,1542965854781,93.59
False,1542965855780,93.64
False,1542965856778,93.63
False,1542965857979,93.64
False,1542965858877,93.68
False,1542965860079,93.74
False,1542965860878,93.75
False,1542965861779,93.75
False,1542965862876,93.87
False,1542965864078,93.87
False,1542965864982,93.88
False,1542965865779,93.88
False,1542965866790,93.98
False,1542965867781,93.96
False,1542965868979,94.09
False,1542965869879,94.13
False,1542965871078,94.21
False,1542965871879,94.24
False,1542965872781,94.24
False,1542965873876,94.33
False,1542965875078,94.36
False,1542965875982,94.42
False,1542965876781,94.42
False,1542965877779,94.46
False,1542965878779,94.51
False,1542965879980,94.62
False,1542965880879,94.66
False,1542965882078,94.74
False,1542965882879,94.75
False,1542965883840,94.78
False,1542965884878,94.83
False,1542965886078,94.85
False,1542965886980,94.89
False,1542965887931,94.95
False,1542965888939,94.98
False,1542965889949,95.06
False,1542965890989,95.09
False,1542965892009,95.13
False,1542965893077,95.14
False,1542965894075,95.18
False,1542965894779,95.18
False,1542965896131,95.35
False,1542965897132,95.37
False,1542965898149,95.45
False,1542965898780,95.45
False,1542965899785,95.53
False,1542965900781,95.61
False,1542965902230,95.7
False,1542965903276,95.73
False,1542965904275,95.86
False,1542965904878,95.87
False,1542965905781,95.87
False,1542965906879,95.98
False,1542965908331,96.04
False,1542965908981,96.04
False,1542965909782,96.04
False,1542965910779,96.14
False,1542965911780,96.19
False,1542965912979,96.27
False,1542965914180,96.28
False,1542965915077,96.31
False,1542965915890,96.32
False,1542965916786,96.32
False,1542965917876,96.35
False,1542965919076,96.36
False,1542965920276,96.45
False,1542965921180,96.48
False,1542965921981,96.55
False,1542965922782,96.55
False,1542965923978,96.61
False,1542965925178,96.63
False,1542965926075,96.64
False,1542965926876,96.69
False,1542965927876,96.67
False,1542965928875,96.72
False,1542965930076,96.73
False,1542965930986,96.8
False,1542965932185,96.83
False,1542965932979,96.89
False,1542965933899,96.9
False,1542965934976,97.0
False,1542965936179,97.02
False,1542965937076,97.08
False,1542965938000,97.1
False,1542965939021,97.16
False,1542965940040,97.2
False,1542965941077,97.23
False,1542965942079,97.28
False,1542965943180,97.31
False,1542965944131,97.35
False,1542965944875,97.39
False,1542965946204,97.38
False,1542965947220,97.44
False,1542965948240,97.46
False,1542965948876,97.5
False,1542965949877,97.54
False,1542965950877,97.59
False,1542965952333,97.56
False,1542965952978,97.61
False,1542965954344,97.64
False,1542965954986,97.71
False,1542965955883,97.71
False,1542965956977,97.75
False,1542965958175,97.82
False,1542965959077,97.85
False,1542965959879,97.92
False,1542965960891,97.98
False,1542965961876,98.01
False,1542965963076,98.02
False,1542965963980,98.06
False,1542965965178,98.12
False,1542965965978,98.19
False,1542965966878,98.25
False,1542965967978,98.29
False,1542965969177,98.32
False,1542965970076,98.38
False,1542965971276,98.37
False,1542965972077,98.42
False,1542965972977,98.46
